City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Troy,US,37.04,snow,42.6056,-83.1499,Embassy Suites by Hilton Detroit Troy Auburn Hills
456,Naron,ES,54.45,overcast clouds,43.5167,-8.1528,Marcial
460,Yatou,CN,49.42,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
461,Jiexiu,CN,43.9,overcast clouds,37.0244,111.9125,IU Hotel Jinzhong Yuhua Road
463,Halifax,CA,41.05,overcast clouds,44.6453,-63.5724,Hotel Halifax
464,Hondo,JP,53.1,broken clouds,32.45,130.2,ホテル河丁
472,San Lorenzo De El Escorial,ES,41.43,broken clouds,40.5914,-4.1474,Hotel Florida
485,Rafraf,TN,48.51,overcast clouds,37.1904,10.1837,Les Jardins de la Mer Ghar el Melh
486,Anapskaya,RU,57.43,scattered clouds,44.89,37.38,Continent Hotel
487,Amposta,ES,47.03,overcast clouds,40.7131,0.581,Hotel Hcc Montsià
494,Viransehir,TR,53.42,clear sky,37.2353,39.7631,Viranşehir Öğretmenevi
496,Regina,CA,39.2,overcast clouds,50.4501,-104.6178,Wingate by Wyndham Regina
498,Huancavelica,PE,44.11,overcast clouds,-12.7667,-74.9833,Hotel Victoria Huancavelica
499,Mountain Home,US,44.08,clear sky,43.133,-115.6912,Mountain Home Inn
503,Petropavlivka,UA,49.14,overcast clouds,48.4564,36.4367,Банька в Петропавловке
506,Lander,US,45.41,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
511,Challans,FR,39.4,scattered clouds,46.8436,-1.8749,Citotel Le Challans
516,Dublin,US,59.65,clear sky,37.7021,-121.9358,Pleasanton Marriott
517,Burnie,AU,47.98,clear sky,-41.0667,145.9167,Beachfront Voyager Motor Inn
523,Matviyivka,UA,51.53,overcast clouds,47.0747,35.1444,
530,Tigzirt,DZ,51.67,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
531,Aktau,KZ,41.58,broken clouds,43.65,51.2,Silk Way Hotel
533,Dongkan,CN,54.25,overcast clouds,33.9997,119.8308,Triumphal Resort
535,Manturovo,RU,35.38,overcast clouds,58.3353,44.7619,ProstoХостел
538,Saint Anthony,US,37.72,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
543,Coihaique,CL,59.61,light intensity shower rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
551,Kivsharivka,UA,44.73,overcast clouds,49.6213,37.7036,"ФОК ""Металург"""
553,San Jeronimo,PE,56.35,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
554,Myitkyina,MM,58.3,clear sky,25.3833,97.4,Shwe Phyu Hotel
556,Svetlogorsk,BY,39.51,overcast clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
560,Dejen,ET,56.32,broken clouds,10.1667,38.1333,MAFLAB International Hotel
563,Takapau,NZ,59.5,scattered clouds,-40.0333,176.35,
564,Pingdingshan,CN,46.02,clear sky,33.7385,113.3012,Chengfu Hotel
566,Katsuura,JP,48.31,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
598,Mugla,TR,54.27,overcast clouds,37.2303,28.3557,Petek Hotel
600,Sale,MA,53.62,scattered clouds,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
607,Fortuna,US,52.14,scattered clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
612,Glace Bay,CA,41.45,scattered clouds,46.1969,-59.957,Cedarwoods Bed & Breakfast
616,Chenzhou,CN,51.85,clear sky,25.8,113.0333,Thank Inn Chain Hotel hunan chenzhou beihu district wuling square
625,Tanggu,CN,39.16,broken clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
626,Pokhara,NP,56.35,clear sky,28.2333,83.9833,Butterfly Lodge
635,Morgan City,US,59.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
636,Samoylovka,RU,41.04,overcast clouds,51.184,43.7081,
637,Russell,US,54.63,broken clouds,32.3502,-85.1999,Macs
638,Kitob,UZ,41.58,clear sky,39.0843,66.8332,KESH HOTEL
645,North Bend,US,55.31,mist,43.4065,-124.2243,Red Lion Hotel Coos Bay
648,Krizevci,HR,40.59,overcast clouds,46.0219,16.5425,Koristan Kod d.o.o.
653,Kazerun,IR,59.49,scattered clouds,29.6195,51.6541,آپارتمان بزرگ اویسا
656,Cedar City,US,45.57,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
662,Asau,RO,45.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
663,Wageningen,NL,35.8,fog,51.9667,5.6667,Fletcher Hotel-Restaurant De Wageningsche Berg
674,Hvide Sande,DK,36.18,overcast clouds,56.0045,8.1294,Hvide Sande Hotel
677,Dawson Creek,CA,44.24,clear sky,55.7666,-120.2362,Peace Villa Motel
688,Inverell,AU,56.88,few clouds,-29.7833,151.1167,Sapphire City Motor Inn
696,Lincoln,US,50.38,clear sky,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
698,Kantemirovka,RU,43.99,overcast clouds,49.7089,39.8592,Premier Hotel
709,Gejiu,CN,42.46,few clouds,23.306,103.1635,Hongtai Commercial Hotel
713,Krasnaya Gora,RU,37.31,overcast clouds,52.9995,31.6023,
