City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Butaritari,KI,3.0707,172.7902,81.07,79,75,13.04,broken clouds
154,Souillac,MU,-20.5167,57.5167,77.38,78,20,4.61,few clouds
155,Adrar,MR,20.5022,-10.0711,67.89,23,0,11.79,clear sky
156,Koster,ZA,-25.863,26.8976,68.47,47,4,6.6,clear sky
157,Severnoye,RU,56.3491,78.3619,13.41,96,98,6.53,overcast clouds
158,Tura,IN,25.5198,90.2201,60.04,70,3,3.69,clear sky
159,Hasaki,JP,35.7333,140.8333,37.8,51,2,6.29,clear sky
160,Margate,GB,51.3813,1.3862,37.11,77,83,23.15,broken clouds
161,Jalu,LY,29.0331,21.5482,78.48,20,100,11.65,overcast clouds
162,Amapa,BR,1.0,-52.0,77.92,93,61,2.33,broken clouds
163,Bujaru,BR,-1.515,-48.0447,73.42,63,44,3.27,scattered clouds
164,Fairbanks,US,64.8378,-147.7164,-23.8,72,20,0.0,light snow
165,Qui Nhon,VN,13.7667,109.2333,76.75,92,100,11.03,moderate rain
166,Vestmanna,FO,62.1564,-7.1664,34.72,80,90,6.91,light intensity drizzle
167,Pevek,RU,69.7008,170.3133,-0.65,84,98,2.71,overcast clouds
168,Nixa,US,37.0434,-93.2944,53.65,43,8,6.49,clear sky
169,Kijang,KR,35.2442,129.2139,38.93,41,100,5.5,overcast clouds
170,Isangel,VU,-19.55,169.2667,77.11,83,100,6.2,light rain
171,Ostersund,SE,63.1792,14.6357,18.05,100,0,9.22,clear sky
172,Vanavara,RU,60.34,102.2797,3.85,99,99,3.47,overcast clouds
173,Boa Vista,BR,2.8197,-60.6733,93.18,40,75,16.11,broken clouds
174,Jacobina,BR,-11.1806,-40.5183,73.76,83,100,4.25,overcast clouds
175,Bowen,AU,-20.0167,148.2333,75.42,82,99,12.12,light rain
176,Kaitangata,NZ,-46.2817,169.8464,45.46,74,74,6.96,broken clouds
177,Carballo,ES,43.213,-8.691,53.29,93,98,8.84,overcast clouds
178,Cayenne,GF,4.9333,-52.3333,87.84,66,75,11.5,light rain
179,Talnakh,RU,69.4865,88.3972,-14.87,97,83,2.13,broken clouds
180,Beringovskiy,RU,63.05,179.3167,4.57,95,99,4.97,overcast clouds
181,College,US,64.8569,-147.8028,-22.34,73,75,0.0,mist
182,Sao Filipe,CV,14.8961,-24.4956,77.95,69,58,13.76,broken clouds
183,Woodward,US,36.4337,-99.3904,56.43,40,1,6.91,clear sky
184,Nyurba,RU,63.2842,118.3319,-14.35,100,83,3.04,broken clouds
185,Broome,US,42.2506,-75.833,30.97,100,90,4.61,mist
186,Bredasdorp,ZA,-34.5322,20.0403,65.68,74,54,11.9,broken clouds
187,Vila,PT,42.0304,-8.1588,43.68,98,100,4.63,overcast clouds
188,Geraldton,AU,-28.7667,114.6,68.41,88,90,12.66,moderate rain
189,Landeck,AT,47.1301,10.5636,30.94,97,100,2.62,overcast clouds
190,Damietta,EG,31.4165,31.8133,69.69,65,76,6.04,broken clouds
191,Kavaratti,IN,10.5669,72.642,81.97,74,93,7.49,overcast clouds
192,Laguna,US,38.421,-121.4238,66.7,72,1,5.75,clear sky
193,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,6.91,mist
194,Necochea,AR,-38.5473,-58.7368,62.58,90,100,6.67,light rain
195,Belmopan,BZ,17.25,-88.7667,84.58,55,42,3.62,scattered clouds
196,Beira,MZ,-19.8436,34.8389,73.33,69,0,8.84,clear sky
197,Sterling,US,39.0062,-77.4286,58.86,39,40,10.36,scattered clouds
198,Casablanca,MA,33.5928,-7.6192,57.42,58,20,2.3,few clouds
199,Udachnyy,RU,66.4167,112.4,-21.5,97,100,3.15,overcast clouds
200,Havoysund,NO,70.9963,24.6622,12.43,88,41,15.1,scattered clouds
201,Camana,PE,-16.6228,-72.7111,70.12,75,68,9.53,broken clouds
202,Airai,TL,-8.9266,125.4092,61.12,91,98,0.58,overcast clouds
203,Vanimo,PG,-2.6741,141.3028,76.89,89,100,3.8,overcast clouds
204,Pemangkat,ID,1.1667,108.9667,77.41,81,92,5.93,overcast clouds
205,Kommunar,RU,59.6206,30.39,24.33,96,97,4.09,overcast clouds
206,Hambantota,LK,6.1241,81.1185,77.99,86,100,4.21,overcast clouds
207,Buala,SB,-8.145,159.5921,79.99,82,86,5.37,light rain
208,Kalmar,SE,56.6616,16.3616,35.53,93,75,9.22,broken clouds
209,Nalut,LY,30.3333,10.85,58.1,76,51,17.34,broken clouds
210,Forio,IT,40.7342,13.8646,52.09,53,100,24.54,overcast clouds
211,Qaanaaq,GL,77.484,-69.3632,-8.23,83,51,7.27,broken clouds
212,Corinto,GR,37.9407,22.9573,66.0,71,13,6.42,few clouds
213,Severnyy-Kospashskiy,RU,59.0925,57.8008,24.49,94,100,11.12,light snow
214,Bairiki,KI,1.3292,172.9752,80.6,78,75,9.22,broken clouds
