City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
132,Pergamino,AR,66.81,overcast clouds,-33.89,-60.5736,Hotel Fachinat
134,Bone,DE,36.27,broken clouds,51.9669,12.1396,Sporthotel Wallwitz
135,Uige,AO,68.85,light rain,-7.6087,15.0613,Hotel Catraio
137,Torbay,CA,48.97,scattered clouds,47.6666,-52.7314,Gallows Cove
139,Peniche,PT,56.68,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
140,Sungaipenuh,ID,62.2,broken clouds,-2.0833,101.3833,penginapan citra alam
142,Newport,GB,41.54,broken clouds,51.5877,-2.9984,ibis budget Newport
144,Akhtanizovskaya,RU,57.67,overcast clouds,45.32,37.1,Guest House Semeyniy
145,Gillette,US,54.52,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
151,Hobart,AU,48.06,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
155,Adrar,MR,67.89,clear sky,20.5022,-10.0711,
156,Koster,ZA,68.47,clear sky,-25.863,26.8976,Klub Kranskuil
158,Tura,IN,60.04,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
159,Hasaki,JP,37.8,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
160,Margate,GB,37.11,broken clouds,51.3813,1.3862,Premier Inn Margate hotel
168,Nixa,US,53.65,clear sky,37.0434,-93.2944,Super 8 by Wyndham Nixa/Springfield Area
169,Kijang,KR,38.93,overcast clouds,35.2442,129.2139,Samyang Beach Villa
176,Kaitangata,NZ,45.46,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
177,Carballo,ES,53.29,overcast clouds,43.213,-8.691,Pazo do Souto
183,Woodward,US,56.43,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
186,Bredasdorp,ZA,65.68,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
187,Vila,PT,43.68,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
188,Geraldton,AU,68.41,moderate rain,-28.7667,114.6,Broadwater Mariner Resort
190,Damietta,EG,69.69,broken clouds,31.4165,31.8133,SULIMAN INN
192,Laguna,US,66.7,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
193,Port Hardy,CA,48.38,mist,50.6996,-127.4199,Airport Inn
194,Necochea,AR,62.58,light rain,-38.5473,-58.7368,dyd -mar Hotel
197,Sterling,US,58.86,scattered clouds,39.0062,-77.4286,Hampton Inn & Suites Washington-Dulles International Airport
198,Casablanca,MA,57.42,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
202,Airai,TL,61.12,overcast clouds,-8.9266,125.4092,Juvinal Martin
208,Kalmar,SE,35.53,broken clouds,56.6616,16.3616,First Hotel Witt
209,Nalut,LY,58.1,broken clouds,30.3333,10.85,
210,Forio,IT,52.09,overcast clouds,40.7342,13.8646,Hotel Terme Providence
212,Corinto,GR,66.0,few clouds,37.9407,22.9573,Ephira Hotel
215,Kruisfontein,ZA,64.72,few clouds,-34.0033,24.7314,Oyster Bay House Rental
219,Ancud,CL,60.33,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
220,Mount Gambier,AU,46.31,clear sky,-37.8333,140.7667,The Commodore
230,Vernon,CA,43.16,overcast clouds,50.2581,-119.2691,Prestige Vernon Lodge and Conference Centre
232,Rocha,UY,67.77,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
