City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Puerto Ayora,EC,2021-11-27 18:58:33,-0.7393,-90.3518,73.36,72,62,12.03
97,Emba,KZ,2021-11-27 18:58:33,48.8264,58.1442,21.52,76,100,7.65
98,Namibe,AO,2021-11-27 18:54:17,-15.1961,12.1522,69.87,70,41,10.92
99,Luderitz,NA,2021-11-27 18:58:33,-26.6481,15.1594,61.9,85,0,6.35
100,Lata,PT,2021-11-27 18:58:33,40.1629,-8.3327,50.41,55,1,9.19
101,Provideniya,RU,2021-11-27 18:58:34,64.3833,-173.3,-5.22,84,8,6.08
102,Baculin,PH,2021-11-27 18:58:34,7.4525,126.5842,78.15,86,100,5.66
103,Severo-Kurilsk,RU,2021-11-27 18:58:34,50.6789,156.125,28.13,67,73,25.66
104,Jacareacanga,BR,2021-11-27 18:58:34,-6.2222,-57.7528,76.44,97,100,3.78
105,Port Moresby,PG,2021-11-27 18:58:35,-9.4431,147.1797,76.05,85,92,3.44
106,Ponta Do Sol,PT,2021-11-27 18:58:35,32.6667,-17.1,61.43,74,24,7.63
107,Tuktoyaktuk,CA,2021-11-27 18:58:35,69.4541,-133.0374,-7.6,77,90,21.85
108,Saint-Philippe,RE,2021-11-27 18:58:36,-21.3585,55.7679,76.59,85,61,5.46
109,Clyde River,CA,2021-11-27 18:58:36,70.4692,-68.5914,-7.49,99,76,5.17
110,Codrington,AU,2021-11-27 18:58:36,-38.2667,141.9667,45.63,90,0,8.25
111,Vaini,TO,2021-11-27 18:58:36,-21.2,-175.2,80.76,89,75,8.05
112,Port-Gentil,GA,2021-11-27 18:58:37,-0.7193,8.7815,78.44,85,100,17.67
113,Payo,ID,2021-11-27 18:58:37,-3.7508,103.6372,72.41,80,100,1.19
114,Verkhnetulomskiy,RU,2021-11-27 18:58:37,68.6073,31.7962,-7.47,100,96,0.58
115,Dengfeng,CN,2021-11-27 18:58:37,34.4553,113.0281,45.81,57,100,2.93
116,Hilo,US,2021-11-27 18:58:38,19.7297,-155.09,75.24,65,2,2.93
117,Muroto,JP,2021-11-27 18:58:38,33.2833,134.15,50.45,54,0,11.61
118,Kinsale,IE,2021-11-27 18:58:38,51.7075,-8.5306,38.57,75,40,16.11
119,Isangel,VU,2021-11-27 18:58:38,-19.55,169.2667,73.51,94,40,0.0
